,male,caseid,ResponseId,treatment,low_caste,college,hindu,muslim,vote_intention,whatsapp,days_whatsapp,bjp_support,bjp_oppose,agegroup,nationalistic,uncongenial,political_knowledge,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10
0,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
1,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
2,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
3,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
4,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
5,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
6,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
7,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
8,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
9,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
10,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
11,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
12,1.0,16778_aadbwrvbgqtljlhn_83,R_1cZYHBsrtkJ02O7,1,1.0,0.0,1.0,0.0,3.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
13,1.0,16778_aewczolypoppbshl_83,R_z7P4g0FkqVBVRzH,0,1.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0
