,fullyLoaded,bytesIn,requests,bytes.html,requests.html,bytes.js,requests.js,bytes.css,requests.css,bytes.image,requests.image,bytes.font,requests.font,bytes.video,requests.video,bytes.other,requests.other,id
0,9053.0,1774507.0,41.0,50146.0,14.0,1693605.0,7.0,274.0,1.0,26918.0,14.0,0.0,0.0,0.0,0.0,3564.0,5.0,221010_KJ_2
1,15271.0,2159401.0,35.0,39355.0,6.0,1496899.0,9.0,450278.0,2.0,94213.0,5.0,28719.0,2.0,0.0,0.0,49757.0,10.0,221010_JC_3
2,10687.0,2601.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,2.0,221010_FS_4
3,10284.0,1768305.0,43.0,49946.0,16.0,1691559.0,7.0,274.0,1.0,21934.0,14.0,0.0,0.0,0.0,0.0,4592.0,5.0,221010_C4_5
4,23532.0,2199183.0,207.0,60672.0,21.0,1309642.0,46.0,45240.0,8.0,727130.0,104.0,30120.0,3.0,0.0,0.0,26379.0,25.0,221010_RJ_6
5,4947.0,91261.0,11.0,19198.0,2.0,8621.0,2.0,0.0,0.0,60796.0,5.0,0.0,0.0,0.0,0.0,2646.0,2.0,221010_B6_7
6,31246.0,1868963.0,193.0,136165.0,25.0,1444735.0,68.0,14874.0,3.0,197639.0,34.0,24664.0,2.0,0.0,0.0,50886.0,60.0,221010_XY_8
7,4794.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_ER_9
8,26179.0,2996609.0,185.0,83365.0,9.0,842774.0,36.0,34543.0,1.0,1642446.0,111.0,379136.0,9.0,0.0,0.0,14345.0,18.0,221010_G6_A
9,958.0,6269.0,2.0,1740.0,1.0,0.0,0.0,4529.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221010_1C_C
10,8860.0,2112448.0,26.0,29154.0,2.0,1494308.0,12.0,74732.0,3.0,511115.0,5.0,0.0,0.0,0.0,0.0,3139.0,4.0,221010_7M_D
11,18912.0,1021556.0,108.0,133882.0,8.0,138543.0,21.0,0.0,0.0,367705.0,59.0,65176.0,1.0,0.0,0.0,316250.0,19.0,221010_K1_E
12,24153.0,1504019.0,99.0,45126.0,12.0,693364.0,24.0,90359.0,5.0,648754.0,42.0,11703.0,1.0,0.0,0.0,14204.0,14.0,221010_A4_F
13,18903.0,2117632.0,53.0,41646.0,2.0,690117.0,14.0,36137.0,4.0,1272609.0,26.0,66636.0,2.0,0.0,0.0,2601.0,4.0,221010_EP_G
14,118211.0,6267463.0,565.0,228610.0,97.0,4350644.0,85.0,411278.0,5.0,896257.0,152.0,180419.0,8.0,0.0,0.0,200255.0,198.0,221010_T1_H
15,25858.0,2467012.0,104.0,130481.0,10.0,1491427.0,43.0,184416.0,1.0,540807.0,21.0,114972.0,8.0,0.0,0.0,3503.0,20.0,221010_VS_J
16,14395.0,761518.0,50.0,20547.0,8.0,493699.0,16.0,28798.0,3.0,180438.0,15.0,23320.0,1.0,0.0,0.0,13627.0,6.0,221010_X1_K
17,29687.0,3442108.0,164.0,103827.0,18.0,1254954.0,51.0,30095.0,2.0,1406215.0,53.0,603968.0,4.0,0.0,0.0,39500.0,34.0,221010_PC_M
18,40379.0,8519499.0,55.0,106363.0,2.0,687185.0,11.0,181512.0,4.0,7057875.0,30.0,482776.0,2.0,0.0,0.0,2638.0,5.0,221010_FN_P
19,5029.0,306830.0,11.0,1738.0,1.0,0.0,0.0,813.0,1.0,239178.0,3.0,62500.0,5.0,0.0,0.0,2601.0,1.0,221010_ES_Q
20,29383.0,949808.0,161.0,222584.0,19.0,260451.0,15.0,54134.0,7.0,329129.0,57.0,78332.0,4.0,0.0,0.0,2701.0,58.0,221010_DD_R
21,23420.0,3588805.0,173.0,45873.0,21.0,1113694.0,52.0,106042.0,4.0,1653714.0,68.0,46940.0,2.0,0.0,0.0,622542.0,26.0,221010_FE_S
22,36233.0,3227361.0,211.0,36916.0,12.0,1107614.0,65.0,44898.0,18.0,1990151.0,87.0,26608.0,3.0,0.0,0.0,21174.0,26.0,221010_63_T
23,25189.0,2221949.0,160.0,148054.0,10.0,1575190.0,43.0,216080.0,14.0,257232.0,38.0,0.0,0.0,0.0,0.0,25393.0,55.0,221010_JZ_V
24,48869.0,14682322.0,102.0,7476.0,4.0,546737.0,3.0,73102.0,3.0,13395778.0,72.0,572412.0,5.0,0.0,0.0,84022.0,14.0,221010_HH_W
25,35803.0,2290409.0,152.0,148434.0,3.0,1044690.0,25.0,39068.0,3.0,1020713.0,34.0,33056.0,3.0,0.0,0.0,4448.0,84.0,221010_19_Y
26,40147.0,957110.0,186.0,31330.0,17.0,666260.0,38.0,93005.0,6.0,31090.0,55.0,111095.0,4.0,0.0,0.0,7156.0,65.0,221010_RX_Z
27,21775.0,3667008.0,126.0,54195.0,5.0,2005457.0,35.0,116908.0,10.0,874199.0,61.0,551696.0,3.0,0.0,0.0,64553.0,12.0,221010_5W_10
28,103531.0,20282817.0,1197.0,213024.0,8.0,306439.0,36.0,66453.0,7.0,19604398.0,1131.0,88132.0,2.0,0.0,0.0,3477.0,12.0,221010_YW_11
29,118939.0,515572.0,117.0,17916.0,10.0,413456.0,12.0,41597.0,1.0,37377.0,16.0,0.0,0.0,0.0,0.0,5226.0,78.0,221010_8K_12
30,120238.0,7815924.0,622.0,168675.0,88.0,2296892.0,61.0,44164.0,4.0,108768.0,147.0,202985.0,6.0,4877451.0,1.0,116860.0,290.0,221010_TN_13
31,28948.0,5661824.0,182.0,47071.0,11.0,1467812.0,49.0,122758.0,3.0,3762787.0,88.0,145956.0,9.0,0.0,0.0,115440.0,21.0,221010_2T_14
32,30093.0,1970668.0,229.0,23964.0,15.0,1038479.0,71.0,89050.0,4.0,394031.0,67.0,174636.0,6.0,0.0,0.0,249746.0,65.0,221010_YW_15
33,58438.0,12290783.0,424.0,209955.0,48.0,1920471.0,89.0,93981.0,10.0,9429732.0,217.0,521460.0,7.0,0.0,0.0,114216.0,39.0,221010_5H_17
34,12053.0,2601.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,3.0,221010_V6_18
35,24411.0,2424325.0,156.0,53676.0,9.0,1354559.0,43.0,242740.0,9.0,562314.0,57.0,153263.0,5.0,0.0,0.0,57672.0,32.0,221010_6Z_19
36,31813.0,6583060.0,287.0,81667.0,31.0,1404658.0,66.0,55897.0,14.0,4608157.0,112.0,402595.0,9.0,0.0,0.0,30086.0,53.0,221010_MM_1A
37,13566.0,1586578.0,40.0,70552.0,2.0,263136.0,10.0,303.0,1.0,1006617.0,7.0,179082.0,4.0,0.0,0.0,66888.0,16.0,221010_VC_1C
38,14900.0,1564717.0,22.0,3954.0,2.0,1539861.0,8.0,16400.0,2.0,70.0,2.0,0.0,0.0,0.0,0.0,2603.0,7.0,221010_ZJ_1E
39,7125.0,583372.0,45.0,46948.0,1.0,224343.0,7.0,135041.0,4.0,85165.0,26.0,83844.0,4.0,0.0,0.0,2601.0,2.0,221010_T6_1F
40,12411.0,1002967.0,41.0,6798.0,1.0,166794.0,5.0,307033.0,4.0,338212.0,18.0,181524.0,2.0,0.0,0.0,2606.0,11.0,221010_GG_1G
41,21417.0,1588684.0,172.0,207386.0,23.0,996720.0,31.0,37632.0,5.0,305013.0,93.0,25552.0,2.0,0.0,0.0,13470.0,17.0,221010_G4_1H
42,49843.0,12627743.0,114.0,344095.0,2.0,1079980.0,35.0,171325.0,3.0,10649771.0,47.0,333707.0,7.0,0.0,0.0,48865.0,15.0,221010_CP_1J
43,17692.0,945925.0,140.0,103752.0,18.0,374448.0,34.0,13932.0,9.0,287481.0,59.0,137652.0,9.0,0.0,0.0,13574.0,8.0,221010_2Y_1K
44,11321.0,2601.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,2.0,221010_WB_1M
45,30164.0,4695487.0,254.0,256332.0,26.0,1689416.0,62.0,299660.0,11.0,2298548.0,118.0,122268.0,2.0,0.0,0.0,27076.0,34.0,221010_D9_1N
46,19189.0,1224327.0,68.0,52059.0,5.0,621632.0,24.0,21940.0,1.0,254386.0,20.0,271552.0,6.0,0.0,0.0,2758.0,12.0,221010_1X_1P
47,26068.0,1873736.0,178.0,45178.0,17.0,953273.0,31.0,34406.0,3.0,625238.0,95.0,145044.0,10.0,0.0,0.0,70597.0,22.0,221010_GH_1Q
48,33996.0,8395186.0,149.0,147258.0,3.0,1523523.0,40.0,376123.0,10.0,5884024.0,72.0,457256.0,9.0,0.0,0.0,7002.0,14.0,221010_56_1R
49,36588.0,6443075.0,241.0,66851.0,21.0,1420256.0,36.0,129158.0,7.0,4735368.0,133.0,77160.0,1.0,0.0,0.0,13732.0,42.0,221010_1S_1S
50,62118.0,4563924.0,570.0,187178.0,89.0,2008866.0,82.0,44031.0,7.0,2065685.0,224.0,128784.0,3.0,0.0,0.0,129380.0,158.0,221010_JW_1T
51,26641.0,3066801.0,178.0,57383.0,1.0,561956.0,2.0,0.0,0.0,2422033.0,154.0,0.0,0.0,0.0,0.0,25137.0,20.0,221010_6P_1V
52,121205.0,8562510.0,826.0,429997.0,152.0,3832946.0,96.0,116750.0,23.0,3650095.0,158.0,339364.0,14.0,92396.0,1.0,100962.0,377.0,221010_TS_1W
53,25763.0,1989227.0,214.0,64000.0,21.0,1396309.0,63.0,85308.0,5.0,245721.0,58.0,189380.0,3.0,0.0,0.0,7709.0,63.0,221010_HZ_1X
54,5390.0,2601.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2601.0,1.0,221010_XS_1Y
55,23267.0,3547221.0,249.0,263528.0,39.0,680413.0,42.0,33033.0,10.0,2528142.0,131.0,28368.0,1.0,0.0,0.0,13737.0,26.0,221010_5B_20
56,38541.0,12538163.0,90.0,18863.0,1.0,1567437.0,24.0,35125.0,4.0,9926598.0,52.0,987268.0,4.0,0.0,0.0,2872.0,5.0,221010_D3_21
